// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
14478	0.249714	0.155336	9.779806	0.008221	0.002001	-0.004243	-0.277967	-0.793866	-3.523477	0.947152	-1.763747	-3.302648
14482	0.275812	0.143816	9.802480	0.009559	0.000388	0.000244	-0.272228	-0.780931	-3.525238	0.949377	-1.762199	-3.301109
14486	0.271637	0.160912	9.753978	-0.004334	0.006998	0.001980	-0.264748	-0.786357	-3.519885	0.945525	-1.755024	-3.294099
14490	0.259437	0.149675	9.783321	0.006461	0.003011	-0.009027	-0.275101	-0.780726	-3.518596	0.946527	-1.753117	-3.295224
14494	0.255187	0.154129	9.762099	-0.006342	-0.000201	-0.001360	-0.270141	-0.788779	-3.518102	0.942317	-1.751837	-3.292473
14498	0.251827	0.150848	9.781013	-0.008994	-0.002678	0.001766	-0.277969	-0.791197	-3.521173	0.936967	-1.754227	-3.293206
14502	0.280431	0.144144	9.788349	0.007719	-0.000535	0.003861	-0.285625	-0.783020	-3.519623	0.938999	-1.757525	-3.292171
14506	0.263130	0.156915	9.793344	0.008751	0.003278	-0.009137	-0.275271	-0.791321	-3.523216	0.943816	-1.755508	-3.299205
14510	0.271277	0.155907	9.755099	0.006193	0.005437	-0.004279	-0.277621	-0.783352	-3.523455	0.944925	-1.752941	-3.302689
14514	0.285036	0.155096	9.776989	0.014615	-0.000322	-0.006139	-0.270051	-0.794157	-3.525010	0.953555	-1.751538	-3.308127
14518	0.263237	0.161615	9.758952	-0.001072	-0.005651	0.001431	-0.275272	-0.788652	-3.520912	0.951870	-1.754784	-3.307128
14522	0.271461	0.169343	9.783710	-0.010235	-0.004827	0.005144	-0.277795	-0.785940	-3.521162	0.944248	-1.758225	-3.304303
14526	0.277328	0.159369	9.810678	-0.005915	0.000768	-0.007545	-0.275274	-0.785983	-3.518607	0.939603	-1.757706	-3.306374
14530	0.272006	0.146091	9.793339	-0.001560	0.017421	0.001158	-0.277967	-0.793866	-3.523477	0.939027	-1.748610	-3.308620
14534	0.282208	0.136336	9.808208	0.008424	0.003091	0.003829	-0.270140	-0.791448	-3.520406	0.943697	-1.745571	-3.304938
14538	0.270722	0.143973	9.780013	-0.002798	-0.002957	0.002087	-0.282836	-0.791192	-3.530880	0.941117	-1.749320	-3.312626
14542	0.281008	0.139120	9.782555	0.011699	0.010421	-0.000262	-0.272491	-0.780809	-3.518341	0.945020	-1.742743	-3.308800
14546	0.273911	0.153445	9.761653	-0.003248	0.007823	-0.000715	-0.272491	-0.780809	-3.518341	0.940440	-1.737745	-3.305489
14550	0.268811	0.151648	9.758612	0.009451	-0.008063	-0.000737	-0.282577	-0.783306	-3.530864	0.942827	-1.744303	-3.313123
14554	0.269099	0.148017	9.756745	-0.004653	-0.002213	-0.003007	-0.270315	-0.791367	-3.515808	0.940454	-1.744438	-3.310594
14558	0.260557	0.157092	9.786820	0.005623	0.006081	-0.012378	-0.272747	-0.796702	-3.525271	0.944804	-1.740294	-3.320602
14562	0.271864	0.154511	9.795769	-0.007973	-0.000800	-0.001076	-0.275185	-0.788692	-3.523211	0.939264	-1.740903	-3.322497
14566	0.279197	0.163161	9.796427	-0.008829	-0.006992	-0.004604	-0.277967	-0.793866	-3.523477	0.934697	-1.745773	-3.327853
14570	0.277938	0.147236	9.782160	0.000748	0.003216	0.000992	-0.275360	-0.788612	-3.518613	0.934482	-1.744227	-3.325553
14574	0.280155	0.149208	9.789862	-0.001089	-0.005732	0.001605	-0.274836	-0.783516	-3.527798	0.931303	-1.747339	-3.328320
14578	0.279479	0.147338	9.775225	-0.006240	0.000979	-0.019833	-0.277705	-0.791318	-3.528070	0.927617	-1.747290	-3.344880
14582	0.261631	0.155368	9.742579	0.003584	-0.009178	0.000483	-0.267444	-0.788902	-3.520145	0.929162	-1.750446	-3.342029
14586	0.269542	0.147736	9.780715	-0.001693	0.010860	-0.004004	-0.272313	-0.786228	-3.527548	0.926555	-1.743401	-3.347317
14590	0.283537	0.143496	9.803111	0.010955	-0.000501	-0.004328	-0.277446	-0.783433	-3.528054	0.930323	-1.744286	-3.354007
14594	0.272540	0.130037	9.795739	0.012271	0.004084	0.002482	-0.278056	-0.791157	-3.518873	0.937253	-1.743069	-3.351812
14598	0.282467	0.147991	9.795822	0.003687	0.012162	-0.000738	-0.280666	-0.791073	-3.519129	0.939225	-1.738017	-3.352094
14602	0.276421	0.140142	9.798820	-0.004528	-0.001263	-0.000113	-0.270402	-0.793995	-3.515813	0.937591	-1.737822	-3.347890
14606	0.256078	0.167275	9.789766	0.007183	0.009254	0.002413	-0.278143	-0.793785	-3.518879	0.942217	-1.733823	-3.345871
14610	0.277620	0.160750	9.815667	-0.007621	0.001479	-0.001646	-0.278054	-0.796495	-3.523483	0.938901	-1.734092	-3.349285
14614	0.272530	0.163028	9.771585	0.004787	-0.000877	-0.007609	-0.275098	-0.786064	-3.523205	0.940048	-1.734833	-3.355070
14618	0.267706	0.155788	9.758477	0.001886	-0.000065	-0.000482	-0.277704	-0.793987	-3.530375	0.940991	-1.735710	-3.362300
14622	0.289201	0.132861	9.802191	-0.001086	0.003669	0.009890	-0.277708	-0.785980	-3.523461	0.938437	-1.734739	-3.358882
14626	0.269866	0.138896	9.793063	0.000558	-0.003852	0.009482	-0.282577	-0.783306	-3.530864	0.935635	-1.739200	-3.361931
14630	0.281703	0.149025	9.793069	0.006378	0.001821	0.009438	-0.267534	-0.783524	-3.513237	0.937508	-1.736546	-3.349103
14634	0.275163	0.136990	9.775845	0.007136	-0.000084	-0.004668	-0.280752	-0.793702	-3.519134	0.942185	-1.738408	-3.351465
14638	0.270300	0.147607	9.791069	0.003383	-0.001276	-0.000012	-0.277621	-0.783352	-3.523455	0.941614	-1.740036	-3.353685
14642	0.257441	0.148952	9.763321	0.010437	0.006407	0.007484	-0.272749	-0.791364	-3.520662	0.947223	-1.736005	-3.348279
14646	0.281689	0.162741	9.768852	0.004228	-0.011936	-0.006797	-0.285624	-0.785689	-3.521928	0.947815	-1.745862	-3.354994
