// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
06680	0.106009	0.224558	9.792175	0.001970	0.006288	0.001188	-0.823555	-1.693518	-3.338120	1.268775	-0.570765	-3.499164
06684	0.098021	0.231918	9.778498	0.001253	0.000900	-0.006050	-0.821120	-1.696190	-3.335571	1.268018	-0.570229	-3.501698
06688	0.097062	0.224816	9.785854	-0.003357	-0.004331	0.000021	-0.816337	-1.701493	-3.328173	1.266756	-0.572045	-3.501885
06692	0.106904	0.232002	9.789114	-0.000840	0.017231	0.000144	-0.821292	-1.704116	-3.337886	1.266411	-0.562260	-3.501210
06696	0.096317	0.237744	9.786928	0.001120	0.011280	0.003458	-0.816074	-1.701614	-3.335071	1.266927	-0.554945	-3.499162
06700	0.114345	0.227560	9.796465	-0.002051	-0.000355	-0.001179	-0.823639	-1.701485	-3.342735	1.264739	-0.555575	-3.498942
06704	0.105952	0.238999	9.767847	0.001509	-0.004232	-0.018723	-0.811118	-1.701660	-3.327662	1.266477	-0.556181	-3.510396
06708	0.114147	0.227524	9.798611	0.005401	-0.005454	-0.014522	-0.813725	-1.706915	-3.332527	1.270976	-0.557903	-3.519488
06712	0.105483	0.241287	9.795013	0.004052	0.002194	-0.008224	-0.818771	-1.701490	-3.333027	1.273269	-0.556532	-3.523755
06716	0.107167	0.225479	9.792155	0.005813	-0.008027	-0.003396	-0.813291	-1.696440	-3.334805	1.275088	-0.559635	-3.525701
06720	0.095846	0.215456	9.783682	0.001580	0.005163	0.004373	-0.815813	-1.696397	-3.337359	1.274152	-0.555768	-3.522690
06724	0.100397	0.224993	9.788911	-0.000348	0.005380	0.005421	-0.821382	-1.698738	-3.330978	1.273462	-0.553494	-3.518529
06728	0.106893	0.221563	9.782898	-0.000816	-0.003305	0.010862	-0.828774	-1.693351	-3.338631	1.270349	-0.557458	-3.510053
06732	0.088908	0.229769	9.784348	0.005730	-0.000215	-0.005073	-0.820856	-1.696311	-3.342468	1.271289	-0.557365	-3.511954
06736	0.103371	0.232430	9.786651	-0.001126	-0.004695	-0.000474	-0.815986	-1.701655	-3.337370	1.270172	-0.559022	-3.512334
06740	0.093896	0.238223	9.787319	0.000596	-0.013591	-0.006496	-0.821210	-1.690812	-3.328662	1.268562	-0.567336	-3.514770
06744	0.104867	0.243144	9.788445	0.005006	-0.005553	0.003362	-0.813638	-1.704286	-3.332522	1.272093	-0.569119	-3.513548
