// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
18524	0.127187	0.250053	9.797421	-0.001651	-0.012430	-0.009218	-0.827640	-1.677863	-3.354692	1.242660	-0.971985	-3.712001
18528	0.158829	0.179261	9.760109	-0.007573	0.004800	0.000947	-0.832858	-1.680365	-3.357508	1.237462	-0.969253	-3.710997
18532	0.178660	0.212372	9.867230	0.006719	-0.011067	0.003533	-0.827639	-1.680532	-3.356997	1.240478	-0.974375	-3.709464
18536	0.161858	0.224348	9.859818	0.012436	-0.005105	-0.000850	-0.830513	-1.677658	-3.348050	1.247063	-0.977155	-3.709722
18540	0.129507	0.190921	9.824152	0.002268	0.002975	0.006751	-0.824944	-1.675318	-3.354431	1.246494	-0.973771	-3.706090
18544	0.173564	0.283584	9.497605	0.006314	0.001766	-0.004509	-0.838166	-1.677488	-3.353415	1.248922	-0.974054	-3.707277
18548	0.237374	0.167898	9.786561	-0.005313	0.001825	-0.006713	-0.827989	-1.683039	-3.350105	1.246416	-0.972181	-3.711551
18552	0.156176	0.209794	9.833309	0.000523	-0.017440	-0.003002	-0.835382	-1.674984	-3.355453	1.244742	-0.982638	-3.712362
18556	0.145741	0.169086	9.753806	-0.007814	0.006045	-0.008641	-0.835819	-1.680120	-3.348567	1.240394	-0.980146	-3.716435
18560	0.164781	0.255350	9.788436	0.006123	-0.003970	-0.000900	-0.827377	-1.677984	-3.361590	1.241928	-0.980779	-3.717203
18564	0.171182	0.221489	9.887401	-0.002317	-0.006231	-0.013537	-0.840426	-1.674898	-3.360562	1.238186	-0.985595	-3.723239
18568	0.165077	0.229502	9.883232	-0.001163	-0.008491	0.005974	-0.835559	-1.672234	-3.348550	1.235737	-0.991406	-3.718623
18572	0.199666	0.267745	9.659356	0.011449	0.000940	-0.001401	-0.830600	-1.680287	-3.348056	1.242394	-0.990619	-3.719387
18576	0.232658	0.231500	9.710797	0.002499	0.002380	-0.014240	-0.827639	-1.680532	-3.356997	1.243039	-0.987746	-3.727880
18580	0.181098	0.159930	9.761204	0.008125	-0.004553	0.003085	-0.832945	-1.682994	-3.357513	1.247178	-0.990200	-3.726004
18584	0.185977	0.199655	9.919492	-0.003620	-0.005507	-0.001943	-0.822508	-1.680658	-3.354187	1.244523	-0.990928	-3.728270
18588	0.187948	0.244635	9.710629	-0.002077	-0.000741	0.003321	-0.838689	-1.685253	-3.346534	1.244646	-0.993117	-3.725619
18592	0.167542	0.182788	9.800867	0.001625	0.002893	0.010494	-0.828079	-1.677661	-3.343196	1.245460	-0.991045	-3.719664
18596	0.174693	0.286016	9.899169	-0.001050	-0.003210	0.000362	-0.833123	-1.677575	-3.348306	1.244249	-0.993179	-3.718934
18600	0.184736	0.165809	9.756452	0.004314	-0.004375	0.000515	-0.833123	-1.677575	-3.348306	1.246078	-0.995935	-3.718147
18604	0.196470	0.252214	9.565823	0.002574	-0.003878	0.000726	-0.825029	-1.680615	-3.356741	1.246627	-0.996057	-3.718598
18608	0.169683	0.147654	9.874376	-0.005766	0.012607	-0.003664	-0.833296	-1.682832	-3.348316	1.243973	-0.989191	-3.720331
18612	0.147156	0.197249	9.916888	-0.002427	-0.001901	0.000083	-0.822417	-1.686037	-3.361095	1.242490	-0.987473	-3.721827
18616	0.173919	0.260627	9.677861	-0.002051	-0.003249	-0.002053	-0.832686	-1.672439	-3.355192	1.238834	-0.989184	-3.722129
18620	0.182820	0.213421	9.830923	0.011805	-0.003342	-0.002389	-0.830340	-1.672401	-3.348039	1.243849	-0.990789	-3.722909
18624	0.151547	0.219316	9.767225	0.008306	0.006686	-0.003084	-0.832947	-1.677655	-3.352904	1.247457	-0.987022	-3.723980
18628	0.121634	0.223958	9.808807	0.002440	-0.008519	-0.000411	-0.833208	-1.682872	-3.350616	1.249117	-0.992117	-3.724113
18632	0.193281	0.216481	9.629734	0.000086	-0.005993	0.001745	-0.833034	-1.680284	-3.352909	1.248550	-0.995562	-3.722843
18636	0.157553	0.146378	9.746236	-0.010530	-0.003831	-0.006379	-0.830513	-1.677658	-3.348050	1.242034	-0.997372	-3.726353
18640	0.122205	0.210212	9.887132	0.008795	-0.012377	-0.004439	-0.830686	-1.682915	-3.348061	1.247673	-1.004055	-3.729261
18644	0.173476	0.214421	9.822332	-0.009104	0.004400	-0.000027	-0.838517	-1.677327	-3.344218	1.242254	-1.003223	-3.727935
