// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
30826	11708413	-0.004000	0.058800	9.781866	0.002180	0.011168	0.004261	0.065483	-0.612491	-0.641169	0.568612	0.095050	162.840477
30827	11708513	-0.003579	0.057551	9.775792	0.004090	0.009327	-0.001222	0.072423	-0.615153	-0.644779	0.569881	0.100515	162.840077
30828	11708613	0.007672	0.057103	9.784592	-0.002238	0.012187	0.005385	0.069283	-0.623590	-0.634869	0.567525	0.107580	162.848763
30829	11708713	0.000909	0.054885	9.781726	-0.007973	0.003139	0.005342	0.066743	-0.632773	-0.639306	0.561883	0.109461	162.857804
30830	11708813	-0.001155	0.043374	9.776500	0.000731	-0.005690	-0.000642	0.066953	-0.628257	-0.639226	0.561224	0.106317	162.859962
30831	11708913	-0.001866	0.067049	9.769133	0.002745	-0.003292	0.001317	0.059870	-0.632582	-0.639837	0.561715	0.104538	162.869488
30832	11709013	-0.002286	0.058862	9.784833	0.010035	0.011837	-0.011380	0.067020	-0.630728	-0.643365	0.566378	0.111495	162.861850
30833	11709113	-0.003024	0.072748	9.791749	0.002993	0.002668	-0.003294	0.056109	-0.616753	-0.641957	0.567007	0.113156	162.869129
30834	11709213	0.006206	0.066129	9.769754	0.008020	0.005563	0.000891	0.065168	-0.619266	-0.641291	0.570528	0.116450	162.869077
30835	11709313	-0.002268	0.065567	9.784773	0.007006	0.000797	-0.008195	0.062562	-0.625978	-0.641589	0.573453	0.117066	162.869350
30836	11709413	0.009407	0.058506	9.774557	0.002029	-0.008486	-0.009766	0.060061	-0.630431	-0.641846	0.573524	0.112371	162.868751
30837	11709513	0.010635	0.062047	9.766630	-0.002802	0.008058	0.002071	0.071469	-0.625912	-0.634732	0.570846	0.117086	162.868073
30838	11709613	0.002443	0.064516	9.768754	0.019891	-0.011014	0.004664	0.067249	-0.623846	-0.641195	0.581168	0.110859	162.875460
30839	11709713	0.012082	0.048447	9.774744	0.008825	-0.007599	-0.008916	0.062648	-0.626084	-0.643638	0.585133	0.106668	162.876411
30840	11709813	0.016498	0.056140	9.774852	0.005662	0.000356	-0.006770	0.067105	-0.630835	-0.645415	0.587290	0.107020	162.874484
30841	11709913	0.015743	0.052277	9.782766	0.000778	-0.014408	-0.002633	0.069731	-0.621758	-0.643027	0.586655	0.098888	162.872909
30842	11710013	0.003300	0.060250	9.783334	0.000429	-0.012146	-0.001532	0.067440	-0.621695	-0.643204	0.585817	0.092047	162.876627
30843	11710113	0.008224	0.052410	9.774874	0.004056	-0.003377	0.006324	0.067020	-0.630728	-0.643365	0.587064	0.090183	162.885861
30844	11710213	-0.016670	0.062086	9.771026	0.005957	0.005355	-0.007523	0.062667	-0.623719	-0.641548	0.589386	0.093404	162.887351
30845	11710313	0.009440	0.052363	9.775807	-0.004739	0.000746	-0.001780	0.069664	-0.619287	-0.638887	0.585592	0.093948	162.883257
30846	11710413	-0.000274	0.058180	9.788032	0.000726	0.012582	-0.003761	0.063010	-0.624146	-0.649747	0.584917	0.101287	162.890052
30847	11710513	0.003786	0.055402	9.782280	-0.009458	0.004056	-0.008818	0.069540	-0.623910	-0.641018	0.578409	0.103768	162.883909
30848	11710613	0.000876	0.058028	9.780624	-0.001853	-0.002420	-0.002963	0.069607	-0.626382	-0.645157	0.576260	0.102506	162.885475
30849	11710713	0.021221	0.052613	9.776372	0.002337	0.006062	0.001202	0.057665	-0.632625	-0.642063	0.576504	0.106080	162.903622
30850	11710813	-0.000474	0.062292	9.780969	0.011612	-0.003688	0.008873	0.064767	-0.625935	-0.639362	0.582088	0.104020	162.904699
30851	11710913	-0.011747	0.069540	9.776625	0.004581	-0.009580	0.002630	0.062667	-0.623719	-0.641548	0.583630	0.098623	162.910235
30852	11711013	-0.015488	0.060150	9.780688	0.002698	0.001397	0.001607	0.066677	-0.630302	-0.635167	0.584094	0.099520	162.912877
30853	11711113	0.007860	0.059597	9.777430	-0.000627	0.003280	0.000508	0.062667	-0.623719	-0.641548	0.582648	0.101503	162.918217
30854	11711213	0.003693	0.062141	9.805116	-0.003572	0.004860	0.000826	0.067097	-0.621268	-0.635005	0.579520	0.104388	162.918715
30855	11711313	-0.002530	0.062534	9.780153	0.008270	-0.000957	-0.011065	0.073760	-0.625976	-0.634555	0.583164	0.104009	162.911979
30856	11711413	-0.002371	0.056029	9.788317	-0.002502	0.002439	0.004592	0.062476	-0.625871	-0.639539	0.580643	0.105486	162.925822
30857	11711513	0.009737	0.041406	9.776011	-0.002772	0.012616	-0.012934	0.067315	-0.626318	-0.645334	0.577955	0.112893	162.919493
30858	11711613	-0.000027	0.059955	9.783006	0.003344	0.001999	0.008677	0.058638	-0.619502	-0.650020	0.578790	0.114094	162.932918
30859	11711713	0.017070	0.060412	9.783260	-0.003632	0.015676	0.008967	0.060329	-0.618819	-0.635495	0.575633	0.123128	162.940668
30860	11711813	0.006223	0.059795	9.782802	-0.002361	0.014375	-0.007594	0.071936	-0.621715	-0.640800	0.573186	0.131510	162.934810
30861	11711913	0.014353	0.051647	9.785287	-0.006462	0.002447	-0.007750	0.064471	-0.630345	-0.637393	0.568382	0.133059	162.938184
30862	11712013	0.000641	0.056517	9.789347	0.004418	0.001571	0.003997	0.060691	-0.616880	-0.641604	0.569830	0.134039	162.943854
30863	11712113	-0.003799	0.060144	9.776016	0.004683	0.001384	-0.005646	0.064892	-0.621311	-0.637232	0.571418	0.134966	162.942694
