// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
32965	3324605	0.051878	-0.008952	9.784415	-0.006847	0.006412	-0.009727	-0.551299	0.071804	-0.588832	0.034457	-0.530825	-79.618988
32966	3324705	0.057950	-0.017506	9.775831	-0.002012	0.002674	-0.000339	-0.551490	0.069652	-0.586822	0.032643	-0.528586	-79.619789
32967	3324805	0.035374	-0.004335	9.796028	0.002046	-0.004196	-0.004665	-0.553781	0.069716	-0.586999	0.033176	-0.530282	-79.622944
32968	3324905	0.040548	-0.011197	9.765376	-0.013798	-0.003861	-0.012747	-0.551404	0.069546	-0.588872	0.024675	-0.531783	-79.630673
32969	3325005	0.058465	0.000115	9.775193	0.004696	0.008395	-0.008882	-0.550851	0.073636	-0.596990	0.026749	-0.526265	-79.635820
32970	3325105	0.052266	-0.028178	9.785071	0.007622	0.003773	-0.008071	-0.544407	0.073978	-0.586211	0.030495	-0.523394	-79.640741
32971	3325205	0.040595	-0.006426	9.767477	-0.001974	0.001613	0.002952	-0.551318	0.069439	-0.590922	0.028685	-0.521763	-79.639976
32972	3325305	0.052511	0.001810	9.778346	-0.001880	0.005493	-0.004084	-0.551443	0.064815	-0.593052	0.026965	-0.517908	-79.643162
32973	3325405	0.042945	-0.011099	9.773816	-0.004312	-0.002164	0.002943	-0.555901	0.069566	-0.591275	0.023816	-0.518442	-79.641559
32974	3325505	0.043128	-0.010314	9.764983	-0.002175	-0.001911	-0.003096	-0.558192	0.069630	-0.591452	0.021922	-0.518830	-79.643827
32975	3325605	0.048473	-0.005625	9.762965	0.007065	0.002075	-0.006853	-0.550660	0.075787	-0.598999	0.025342	-0.516932	-79.647256
32976	3325705	0.038619	-0.001744	9.779737	-0.002172	0.003565	-0.008523	-0.550832	0.076001	-0.594900	0.023477	-0.514181	-79.652560
