// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
10981	9476047	-0.048860	0.013540	9.772218	-0.003988	0.003859	0.007701	0.557573	0.097147	-0.599027	0.348868	0.176628	77.339743
10982	9476147	-0.055728	0.011735	9.775295	-0.005697	-0.004404	-0.003363	0.552952	0.092544	-0.603561	0.344116	0.174513	77.339961
10983	9476247	-0.039905	0.010627	9.784413	0.006823	0.006318	0.005607	0.557620	0.092310	-0.605257	0.346552	0.178508	77.344917
10984	9476347	-0.045388	0.002416	9.777636	-0.002599	0.003725	-0.000426	0.559997	0.092139	-0.607130	0.343579	0.181038	77.346067
10985	9476447	-0.039896	0.001703	9.780683	-0.000772	-0.002753	0.002577	0.559214	0.081167	-0.601183	0.341662	0.179860	77.357130
10986	9476547	-0.058251	0.009772	9.775115	0.008778	0.004023	0.000427	0.555052	0.090328	-0.601375	0.345206	0.182553	77.354282
10987	9476647	-0.043451	0.011250	9.771808	0.003912	0.006006	-0.001673	0.555519	0.094525	-0.607443	0.345958	0.186390	77.351202
10988	9476747	-0.045466	0.006486	9.769617	-0.007406	-0.002547	-0.010001	0.555462	0.087430	-0.613713	0.340213	0.185365	77.349213
10989	9476847	-0.038771	-0.004484	9.785266	-0.008904	-0.013446	0.005053	0.568608	0.087795	-0.598305	0.333636	0.178042	77.354482
10990	9476947	-0.054095	0.004763	9.774871	-0.001993	-0.009563	0.009984	0.562307	0.094441	-0.604863	0.331024	0.172920	77.357664
10991	9477047	-0.040838	-0.002920	9.783955	-0.000602	0.001051	0.009779	0.555224	0.090115	-0.605474	0.329211	0.173888	77.364543
10992	9477147	-0.040927	0.007964	9.776826	0.007684	0.000504	-0.000493	0.564216	0.090074	-0.600668	0.332127	0.174576	77.365712
10993	9477247	-0.045088	0.010434	9.784595	0.000754	0.008765	-0.008098	0.562097	0.089924	-0.604944	0.331059	0.180020	77.361665
