// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
48186	6141918	0.001230	-0.043768	9.780590	0.008216	-0.003402	-0.008576	0.022965	0.662859	-0.605707	0.007432	-0.036137	-1.638002
48187	6142018	0.002257	-0.047352	9.776555	0.000116	-0.000305	-0.006686	0.018239	0.655998	-0.610281	0.006753	-0.036217	-1.641464
48188	6142118	0.007982	-0.048909	9.778517	0.004941	0.010688	-0.007519	0.022592	0.648988	-0.612098	0.008839	-0.029999	-1.645119
48189	6142218	0.008066	-0.051151	9.783915	0.005459	-0.001757	-0.008502	0.018745	0.664925	-0.612169	0.011221	-0.030912	-1.649596
48190	6142318	0.020165	-0.051874	9.769097	-0.010139	-0.002454	-0.001257	0.022354	0.651674	-0.603859	0.004663	-0.032227	-1.649686
48191	6142418	-0.001843	-0.050070	9.788668	-0.001318	-0.001706	-0.006063	0.018154	0.656104	-0.608231	0.003160	-0.033113	-1.652776
48192	6142518	0.006248	-0.040902	9.792426	-0.000022	0.002556	-0.004892	0.016120	0.655848	-0.614557	0.002399	-0.031557	-1.655140
48193	6142618	-0.007790	-0.040370	9.783766	0.000009	0.000905	-0.006383	0.018239	0.655998	-0.610281	0.001657	-0.030947	-1.658210
48194	6142718	0.009712	-0.045749	9.777519	0.002492	-0.001726	0.013988	0.013486	0.656338	-0.606535	0.002331	-0.031846	-1.649877
48195	6142818	0.008372	-0.042820	9.767254	-0.005496	-0.013155	-0.010995	0.022993	0.655657	-0.614027	-0.001564	-0.039292	-1.655207
48196	6142918	0.005630	-0.050877	9.769635	0.000358	-0.011981	-0.005501	0.025198	0.655700	-0.611800	-0.002106	-0.046067	-1.657737
48197	6143018	-0.006929	-0.026453	9.780412	-0.000292	-0.001444	0.000233	0.022841	0.658235	-0.607837	-0.003022	-0.046804	-1.657172
48198	6143118	0.012541	-0.050108	9.770494	0.010923	-0.007613	-0.003177	0.022498	0.658662	-0.599639	0.002489	-0.051076	-1.658491
48199	6143218	-0.015015	-0.036801	9.784769	0.003585	0.011780	0.009167	0.025303	0.657958	-0.611760	0.003790	-0.044235	-1.652644
48200	6143318	0.006555	-0.037118	9.774510	0.000305	-0.012434	0.000814	0.022736	0.655977	-0.607878	0.003217	-0.051268	-1.651727
48201	6143418	0.012685	-0.047300	9.775246	0.004412	-0.010319	0.001372	0.018134	0.653739	-0.610322	0.004996	-0.057090	-1.650541
48202	6143518	-0.003540	-0.033896	9.789979	0.007510	-0.003711	-0.003455	0.027022	0.651440	-0.605555	0.008553	-0.059125	-1.651767
48203	6143618	0.006315	-0.037246	9.776646	0.003918	0.007173	0.005986	0.020503	0.663136	-0.601784	0.010047	-0.054924	-1.647963
48204	6143718	0.002830	-0.034654	9.787154	0.001132	0.007537	-0.009404	0.016349	0.662730	-0.612386	0.009955	-0.050514	-1.652930
48205	6143818	0.007952	-0.047610	9.774099	0.003223	0.002814	0.005992	0.024903	0.651290	-0.609832	0.011051	-0.048811	-1.648750
48206	6143918	-0.006818	-0.039412	9.788404	0.000602	-0.009635	-0.004387	0.022946	0.660494	-0.607797	0.010652	-0.054239	-1.650788
48207	6144018	-0.005530	-0.042706	9.778632	0.008078	-0.002121	-0.006868	0.022993	0.655657	-0.614027	0.014536	-0.055361	-1.654201
48208	6144118	0.000528	-0.041177	9.771988	-0.000327	-0.003393	-0.001753	0.026917	0.649181	-0.605596	0.013603	-0.057212	-1.654597
48209	6144218	0.008804	-0.047838	9.778031	0.000689	-0.003370	0.000131	0.022841	0.658235	-0.607837	0.013249	-0.059050	-1.654074
48210	6144318	-0.011648	-0.030335	9.781449	-0.008222	0.003130	0.015571	0.011386	0.658554	-0.608722	0.007782	-0.057164	-1.644843
48211	6144418	0.011614	-0.041056	9.766126	0.007747	0.012180	0.005539	0.024875	0.658492	-0.601512	0.011472	-0.050092	-1.640821
48212	6144518	0.000496	-0.041632	9.769724	-0.009157	-0.000677	-0.015657	0.020378	0.658512	-0.603915	0.005486	-0.050385	-1.649362
48213	6144618	0.007782	-0.044763	9.771338	0.004688	-0.011305	0.006084	0.023137	0.662646	-0.609806	0.007422	-0.056769	-1.645293
48214	6144718	0.007588	-0.053790	9.777130	-0.002891	0.007675	-0.008652	0.023051	0.662752	-0.607757	0.005022	-0.052278	-1.649727
48215	6144818	0.010219	-0.042018	9.774383	-0.005288	-0.006917	-0.017351	0.020254	0.653889	-0.606045	0.001253	-0.056149	-1.659199
48216	6144918	0.011282	-0.040867	9.783538	0.004526	0.002285	-0.008679	0.027700	0.660153	-0.611543	0.003103	-0.054747	-1.663484
48217	6145018	0.014791	-0.044367	9.786036	0.005355	0.008754	0.005982	0.024797	0.649031	-0.609872	0.005420	-0.049641	-1.659581
